Split,Model,Accuracy,F1 Score,Kappa Score
30-70,DT,0.9969438086334182,0.8560848970060333,0.9921358197854838
50-50,DT,0.9972648986297413,0.8543206759816365,0.992956805088746
60-40,DT,0.9922370410489021,0.8320236679821055,0.9801916377551
70-30,DT,0.9970362569580262,0.8510873063166411,0.992377322212278
30-70,Hybrid DT-SVM,0.9969438086334182,0.8560848970060333,0.9921358197854838
50-50,Hybrid DT-SVM,0.996930909353505,0.8541896583488909,0.9920933251720947
60-40,Hybrid DT-SVM,0.9922370410489021,0.8320236679821055,0.9801916377551
70-30,Hybrid DT-SVM,0.9970362569580262,0.8510873063166411,0.992377322212278
30-70,Hybrid KNN-SVM,0.5008027338083111,0.27386954121231727,0.13709204973196165
50-50,Hybrid KNN-SVM,0.44787961943275983,0.23173529805900103,0.11609976711450365
60-40,Hybrid KNN-SVM,0.4842822647981405,0.2305346484651211,0.132896066325339
70-30,Hybrid KNN-SVM,0.48454942079133445,0.23535859261189374,0.12734011261383738
30-70,KNN,0.5132854057190754,0.3013083035945551,0.143277055645595
50-50,KNN,0.49726489862974127,0.28166228531195614,0.13224632494175725
60-40,KNN,0.5031480603885993,0.2677570885975323,0.14076481115575235
70-30,KNN,0.501369038664059,0.2946355509582406,0.13199419181362404
30-70,SVM,0.24622973016538252,0.27762579842579954,0.07966226662994258
50-50,SVM,0.2620913144734704,0.29325802722443156,0.08545254312420203
60-40,SVM,0.2684878026764155,0.33266862895743193,0.0943531090628974
70-30,SVM,0.26771475853768617,0.33850377988133873,0.0904859588676653
30-70,XGBoost,0.9987427060833682,0.8761774679231442,0.9967586835257414
50-50,XGBoost,0.9988265241645755,0.8716574192597211,0.9969745641006938
60-40,XGBoost,0.9986121454200799,0.8675083935795656,0.9964225018725553
70-30,XGBoost,0.9983752068602377,0.8666726757945298,0.995813822971654
